ID,Column Name,Label1
w6yt-hctp,BROOKLYN_CONDOMINIUM_PROPERTY_Neighborhood,Neighborhood 
w9ak-ipjd,Applicant_Last_Name,Person name
w9ak-ipjd,Owner_s_Business_Name,Business name
w9ak-ipjd,Filing_Representative_First_Name,"Person name, Business name"
w9ak-ipjd,City,City 
w9if-3pyn,School_Name,College/University names 
wcmg-48ep,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,"Subjects in school, Areas of study"
weg5-33pj,SCHOOL_LEVEL_,School Levels
wks3-66bn,School_Name,School name
xck4-5xd5,website,Websites
xne4-4v8f,SCHOOL_LEVEL_,School Levels
xubg-57si,OWNER_BUS_STREET_NAME,"Address, Street name"
y4fw-iqfr,Address,Address
yahh-6yjc,School_Type,School Levels
yayv-apxh,SCHOOL_LEVEL_,School Levels
ydkf-mpxb,CrossStreetName,Street name
yg5a-hytu,CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Subjects in school
yjub-udmw,Location__Lat__Long_,LAT/LON coordinates 
yrf7-4wry,COMPARABLE_RENTAL___2___Neighborhood,"Neighborhood, Borough"
yvxd-uipr,Location_1,LAT/LON coordinates
8k4x-9mp5,Last_Name__only_2014_15_,"Person name, Business name"
9b9u-8989,Establishment_Street,"Street name, Address"
