MARTIN	20	702625	238.19	74.8	15.76	0.9	0.98	2.02	5.56	17	672711	29914	4.4%	-3
LEE	21	693023	234.94	35.95	16.33	42.22	0.97	2.64	1.89	22	605860	87163	14.4%	1
PEREZ	22	681645	231.08	4.96	0.45	1.17	0.2	0.26	92.95	29	488521	193124	39.5%	7
THOMPSON	23	664644	225.32	69.78	23.57	0.57	1.22	2.37	2.49	19	644368	20276	3.1%	-4
WHITE	24	660491	223.91	65.51	28.17	0.49	1.07	2.38	2.38	20	639515	20976	3.3%	-4
HARRIS	25	624252	211.63	51.4	42.39	0.47	0.67	2.8	2.26	24	593542	30710	5.2%	-1
SANCHEZ	26	612752	207.73	4.98	0.45	0.96	0.37	0.24	92.99	33	441242	171510	38.9%	7
CLARK	27	562679	190.75	74.65	19.02	0.54	1.01	2.19	2.58	25	548369	14310	2.6%	-2
RAMIREZ	28	557423	188.97	3.89	0.31	0.93	0.2	0.19	94.48	42	388987	168436	43.3%	14
LEWIS	29	531781	180.28	58.23	34.84	0.56	1.2	2.58	2.58	26	509930	21851	4.3%	-3
ROBINSON	30	529821	179.61	48.7	44.93	0.46	0.53	2.77	2.61	27	503028	26793	5.3%	-3
WALKER	31	523129	177.34	58.66	35.05	0.45	0.87	2.55	2.41	28	501307	21822	4.4%	-3
YOUNG	32	484447	164.23	66.26	24.67	3.03	0.79	2.66	2.58	31	465948	18499	4.0%	-1
ALLEN	33	482607	163.61	67.59	26.17	0.54	0.86	2.38	2.47	32	463368	19239	4.2%	-1
KING	34	465422	157.78	70.16	22.76	1.23	0.98	2.31	2.55	35	438986	26436	6.0%	1
WRIGHT	35	458980	155.6	65.8	28.23	0.51	0.69	2.41	2.36	34	440367	18613	4.2%	-1
SCOTT	36	439530	149	60.21	32.92	0.51	1.18	2.59	2.58	36	420091	19439	4.6%	0
TORRES	37	437813	148.42	5.35	0.57	1.43	0.2	0.28	92.16	50	325169	112644	34.6%	13
NGUYEN	38	437645	148.36	0.95	0.12	96.45	0.03	1.83	0.63	57	310125	127520	41.1%	19
HILL	39	434827	147.41	64.36	29.12	0.53	0.97	2.51	2.51	41	411770	23057	5.6%	2
FLORES	40	433969	147.12	4.87	0.42	2.08	0.34	0.36	91.94	55	312615	121354	38.8%	15
GREEN	41	430182	145.83	56.84	36.97	0.44	0.64	2.47	2.64	37	413477	16705	4.0%	-4
ADAMS	42	427865	145.05	74.02	19.9	0.56	0.79	2.16	2.57	39	413086	14779	3.6%	-3
NELSON	43	424958	144.06	77.66	15.97	0.67	1.16	2	2.55	40	412236	12722	3.1%	-3
BAKER	44	419586	142.24	79.83	14.44	0.56	0.87	2.02	2.28	38	413351	6235	1.5%	-6
HALL	45	407076	138	72.65	21.59	0.64	0.65	2.22	2.25	30	473568	-66492	-14.0%	-15
RIVERA	46	391114	132.59	5.4	0.95	2.04	0.18	0.37	91.06	59	299463	91651	30.6%	13
CAMPBELL	47	386157	130.91	73.66	20.47	0.53	0.71	2.13	2.49	43	371953	14204	3.8%	-4
MITCHELL	48	384486	130.34	61.02	32.5	0.48	1.04	2.5	2.47	44	367433	17053	4.6%	-4
CARTER	49	376966	127.79	58.2	35.59	0.45	0.78	2.65	2.34	46	362548	14418	4.0%	-3
ROBERTS	50	376774	127.73	77.27	16.72	0.61	0.85	2.15	2.4	45	366215	10559	2.9%	-5
GOMEZ	51	365655	123.96	5.12	0.75	1.01	0.26	0.26	92.6	68	263590	102065	38.7%	17
PHILLIPS	52	360802	122.31	76.69	17.09	0.58	1.03	2.17	2.44	47	351848	8954	2.5%	-5
EVANS	53	355593	120.55	68.39	25.72	0.47	0.74	2.3	2.39	48	342237	13356	3.9%	-5
TURNER	54	348627	118.19	64.25	30.13	0.42	0.6	2.38	2.23	49	335663	12964	3.9%	-5
DIAZ	55	347636	117.85	5.19	0.65	1.19	0.16	0.25	92.56	73	251772	95864	38.1%	18
PARKER	56	336221	113.98	69.17	24.79	0.54	0.88	2.35	2.26	51	324246	11975	3.7%	-5
CRUZ	57	334201	113.3	5.17	0.8	5.19	0.27	0.7	87.88	82	231065	103136	44.6%	25
EDWARDS	58	332423	112.69	62.13	31.63	0.5	0.77	2.47	2.5	53	317070	15353	4.8%	-5
COLLINS	59	329770	111.79	71.61	22.43	0.49	0.77	2.23	2.47	52	317848	11922	3.8%	-7
REYES	60	327904	111.16	4.41	0.59	5.58	0.24	0.59	88.58	81	232511	95393	41.0%	21
STEWART	61	324957	110.16	69.17	24.86	0.48	0.77	2.24	2.49	54	312899	12058	3.9%	-7
MORRIS	62	318884	108.1	73.59	20.08	0.57	0.98	2.24	2.55	56	311754	7130	2.3%	-6
MORALES	63	311777	105.69	4.63	0.57	1.18	0.17	0.21	93.23	90	217642	94135	43.3%	27
MURPHY	64	308417	104.56	83.11	11.53	0.58	0.68	1.76	2.34	58	300501	7916	2.6%	-6
COOK	65	302589	102.58	81.8	12.55	0.57	0.92	1.98	2.17	60	294795	7794	2.6%	-5
ROGERS	66	302261	102.47	75.4	18.53	0.54	0.82	2.1	2.62	61	294403	7858	2.7%	-5
GUTIERREZ	67	293218	99.4	4.57	0.24	1.4	0.25	0.2	93.33	96	212905	80313	37.7%	29
ORTIZ	68	286899	97.26	4.96	0.64	0.67	0.37	0.25	93.11	94	214683	72216	33.6%	26
MORGAN	69	286280	97.05	76.07	17.27	0.54	1.24	2.1	2.78	62	276400	9880	3.6%	-7
COOPER	70	280791	95.19	67.93	26.13	0.5	0.74	2.31	2.4	64	270097	10694	4.0%	-6
PETERSON	71	278297	94.34	84.39	10.09	0.66	0.74	1.72	2.4	63	275041	3256	1.2%	-8
BAILEY	72	277845	94.19	72.45	22	0.5	0.62	2.16	2.28	66	265916	11929	4.5%	-6
REED	73	277030	93.92	71.29	22.63	0.51	1.05	2.3	2.22	65	267443	9587	3.6%	-8
KELLY	74	267394	90.65	78.09	16.22	0.64	0.54	1.81	2.69	69	260385	7009	2.7%	-5
HOWARD	75	264826	89.78	64.31	29.49	0.5	0.87	2.46	2.37	70	254779	10047	3.9%	-5
RAMOS	76	263464	89.32	6.49	0.98	4.89	0.19	0.65	86.79	112	193096	70368	36.4%	36
KIM	77	262352	88.94	2.52	0.39	94.47	0.02	1.96	0.65	109	194067	68285	35.2%	32
COX	78	261231	88.56	82.62	12.07	0.5	0.67	1.82	2.33	72	253771	7460	2.9%	-6
WARD	79	260464	88.3	75.58	18.5	0.49	0.91	2.08	2.44	71	254121	6343	2.5%	-8
RICHARDSON	80	259798	88.07	59.7	33.63	0.48	1.1	2.44	2.65	74	249533	10265	4.1%	-6
WATSON	81	252579	85.63	66.03	27.9	0.53	0.82	2.3	2.41	76	242432	10147	4.2%	-5
BROOKS	82	251663	85.32	60.22	33.47	0.48	0.79	2.56	2.48	77	240751	10912	4.5%	-5
CHAVEZ	83	250898	85.06	5.02	0.21	0.65	0.94	0.23	92.96	118	185865	65033	35.0%	35
WOOD	84	250715	84.99	88.72	5.57	0.66	0.84	1.79	2.42	75	247299	3416	1.4%	-9
JAMES	85	249379	84.54	51.58	38.86	1.27	2.58	2.64	3.08	80	233224	16155	6.9%	-5
BENNETT	86	247599	83.94	76.56	17.53	0.53	0.88	1.99	2.5	78	239055	8544	3.6%	-8
GRAY	87	246116	83.44	68.68	25.13	0.54	0.91	2.33	2.41	79	236713	9403	4.0%	-8
MENDOZA	88	242771	82.3	4.11	0.35	4.91	0.24	0.42	89.97	134	168567	74204	44.0%	46
RUIZ	89	238234	80.76	5.17	0.44	1.03	0.22	0.24	92.89	129	175429	62805	35.8%	40
HUGHES	90	236271	80.1	78.39	16.13	0.5	0.53	1.97	2.47	83	229390	6881	3.0%	-7
PRICE	91	235251	79.75	73.93	20.51	0.51	0.66	2.14	2.24	84	228756	6495	2.8%	-7
ALVAREZ	92	233983	79.32	5.18	0.6	1.16	0.38	0.23	92.45	132	168817	65166	38.6%	40
CASTILLO	93	230420	78.11	4.92	0.72	3.04	0.59	0.46	90.26	135	165473	64947	39.2%	42
SANDERS	94	230374	78.1	60.78	32.97	0.41	0.84	2.43	2.57	88	220902	9472	4.3%	-6
PATEL	95	229973	77.96	2.1	0.38	94.78	0.65	1.65	0.44	172	145066	84907	58.5%	77
MYERS	96	229895	77.94	84.5	10.54	0.5	0.55	1.8	2.1	85	224824	5071	2.3%	-11
LONG	97	229374	77.76	79.88	12.1	2.48	1.32	1.97	2.24	86	223494	5880	2.6%	-11
ROSS	98	229368	77.76	68.96	24.46	0.61	0.9	2.32	2.75	89	219961	9407	4.3%	-9
FOSTER	99	227764	77.21	69.65	23.94	0.55	0.88	2.33	2.65	87	221040	6724	3.0%	-12
JIMENEZ	100	227118	76.99	3.84	0.29	1.49	0.2	0.21	93.97	147	157475	69643	44.2%	47
POWELL	101	224874	76.23	67.2	27.12	0.46	0.62	2.29	2.31	91	216553	8321	3.8%	-10
JENKINS	102	222653	75.48	57.76	36.78	0.39	0.57	2.42	2.07	95	213737	8916	4.2%	-7
PERRY	103	221741	75.17	68.32	25.2	0.57	0.81	2.43	2.67	97	212644	9097	4.3%	-6
RUSSELL	104	221558	75.11	77.05	16.69	0.57	1.05	2.18	2.46	93	215432	6126	2.8%	-11
SULLIVAN	105	220990	74.92	87.73	7.13	0.6	0.57	1.59	2.39	92	215640	5350	2.5%	-13
BELL	106	220599	74.78	61.11	32.35	0.55	1.01	2.51	2.46	67	264752	-44153	-16.7%	-39
COLEMAN	107	219070	74.27	49.43	44.6	0.4	0.53	2.79	2.25	102	208624	10446	5.0%	-5
BUTLER	108	218847	74.19	62.36	31.54	0.45	0.84	2.45	2.35	98	210879	7968	3.8%	-10
HENDERSON	109	218393	74.04	59.63	33.98	0.45	0.86	2.56	2.51	101	210094	8299	4.0%	-8
BARNES	110	218241	73.99	64.81	29.28	0.48	0.75	2.35	2.33	99	210426	7815	3.7%	-11
GONZALES	111	214758	72.8	9.83	0.99	3.8	0.76	0.56	84.06	110	193934	20824	10.7%	-1
FISHER	112	214703	72.79	82.58	11.79	0.55	0.76	1.89	2.43	100	210279	4424	2.1%	-12
VASQUEZ	113	212781	72.13	5.06	0.51	0.73	0.29	0.24	93.17	143	159989	52792	33.0%	30
SIMMONS	114	210182	71.25	57.91	36.15	0.47	0.67	2.52	2.29	103	201650	8532	4.2%	-11
ROMERO	115	208614	70.72	8.65	0.5	1.3	0.69	0.37	88.5	154	153772	54842	35.7%	39
JORDAN	116	208403	70.65	61.44	30.73	0.55	0.72	2.45	4.11	105	197212	11191	5.7%	-11
PATTERSON	117	205423	69.64	67.27	26.8	0.47	0.68	2.35	2.43	104	198557	6866	3.5%	-13
ALEXANDER	118	204621	69.37	58.19	34.04	1.24	0.7	2.66	3.17	111	193443	11178	5.8%	-7
HAMILTON	119	201746	68.39	70.21	23.71	0.54	0.8	2.29	2.45	107	194331	7415	3.8%	-12
GRAHAM	120	201159	68.19	70.02	23.99	0.51	0.8	2.13	2.55	108	194074	7085	3.7%	-12
REYNOLDS	121	200247	67.89	81.08	13.21	0.52	0.71	2.02	2.45	106	195598	4649	2.4%	-15
GRIFFIN	122	198406	67.26	63.77	30.81	0.44	0.47	2.28	2.21	114	190636	7770	4.1%	-8
WALLACE	123	197276	66.88	69.24	24.7	0.51	0.77	2.31	2.47	113	190760	6516	3.4%	-10
MORENO	124	196925	66.76	6.09	0.43	0.67	0.37	0.22	92.23	170	146088	50837	34.8%	46
WEST	125	195818	66.38	75.48	18.48	0.49	0.83	2.27	2.45	115	188464	7354	3.9%	-10
COLE	126	195289	66.2	75.33	18.89	0.55	0.72	2.1	2.41	116	187793	7496	4.0%	-10
HAYES	127	194246	65.85	69.38	24.69	0.49	0.81	2.34	2.29	117	187473	6773	3.6%	-10
BRYANT	128	192773	65.35	58.46	35.58	0.39	0.89	2.47	2.21	120	183761	9012	4.9%	-8
HERRERA	129	192711	65.33	4.92	0.36	0.96	0.51	0.22	93.03	175	140786	51925	36.9%	46
GIBSON	130	190667	64.64	72.14	21.78	0.46	0.97	2.34	2.31	119	184420	6247	3.4%	-11
ELLIS	131	188968	64.06	70.36	23.47	0.54	0.66	2.24	2.73	121	181934	7034	3.9%	-10
TRAN	132	188498	63.9	1.35	0.1	96	0.03	1.7	0.81	188	136095	52403	38.5%	56
MEDINA	133	188497	63.9	5.69	0.6	1.92	0.3	0.33	91.16	176	139353	49144	35.3%	43
AGUILAR	134	186512	63.23	4.03	0.26	1.64	0.52	0.23	93.32	213	126399	60113	47.6%	79
STEVENS	135	185674	62.94	81.44	11.82	0.64	1.33	2.04	2.74	122	181417	4257	2.3%	-13
MURRAY	136	184910	62.69	74.92	19.29	0.57	0.6	2.02	2.6	123	178414	6496	3.6%	-13
FORD	137	184832	62.66	62.05	32	0.45	0.61	2.52	2.37	124	178397	6435	3.6%	-13
CASTRO	138	184134	62.42	7.29	0.66	3.74	0.24	0.64	87.42	194	133254	50880	38.2%	56
MARSHALL	139	183922	62.35	66.03	27.51	0.58	0.96	2.34	2.58	125	177213	6709	3.8%	-14
OWENS	140	182719	61.94	65.85	28.41	0.36	0.75	2.47	2.17	126	176334	6385	3.6%	-14
HARRISON	141	181091	61.39	68.66	24.45	0.52	1.39	2.27	2.7	128	175577	5514	3.1%	-13
FERNANDEZ	142	180842	61.31	8.77	1.15	5.38	0.18	0.93	83.58	178	139302	41540	29.8%	36
MCDONALD	143	180497	61.19	76.65	17.28	0.55	0.78	2.01	2.73	127	176094	4403	2.5%	-16
WOODS	144	177425	60.15	58.3	35.3	0.42	0.88	2.74	2.35	133	168814	8611	5.1%	-11
WASHINGTON	145	177386	60.14	5.17	87.53	0.3	0.68	3.78	2.54	138	163036	14350	8.8%	-7
KENNEDY	146	176865	59.96	80.82	13.63	0.62	0.61	1.87	2.45	130	171636	5229	3.0%	-16
WELLS	147	176230	59.74	74	20	0.49	0.87	2.22	2.41	131	170635	5595	3.3%	-16
VARGAS	148	173835	58.93	5.41	0.42	0.85	0.18	0.22	92.92	221	123952	49883	40.2%	73
HENRY	149	170964	57.96	61.43	30.68	0.84	1.87	2.34	2.84	142	161392	9572	5.9%	-7
CHEN	150	169580	57.49	1.4	0.3	96.12	0.02	1.64	0.52	260	105544	64036	60.7%	110
FREEMAN	151	169149	57.34	65.5	28.34	0.52	0.95	2.38	2.3	140	162686	6463	4.0%	-11
WEBB	152	168878	57.25	75.53	19.08	0.46	0.66	1.99	2.29	137	163481	5397	3.3%	-15
TUCKER	153	167446	56.77	70.01	24.17	0.45	0.78	2.25	2.35	139	162933	4513	2.8%	-14
GUZMAN	154	167044	56.63	4.11	0.42	1.29	0.15	0.27	93.77	230	118390	48654	41.1%	76
BURNS	155	165925	56.25	80.26	14.06	0.59	0.78	1.83	2.48	141	162153	3772	2.3%	-14
CRAWFORD	156	164457	55.75	68.56	25.65	0.49	0.75	2.3	2.24	146	158121	6336	4.0%	-10
OLSON	157	164035	55.61	94.76	0.4	0.66	0.72	1.43	2.03	136	163502	533	0.3%	-21
SIMPSON	158	163181	55.32	70.78	23.09	0.53	0.78	2.3	2.53	145	158241	4940	3.1%	-13
PORTER	159	163054	55.28	68.57	25.4	0.55	0.72	2.31	2.45	148	156848	6206	4.0%	-11
HUNTER	160	162440	55.07	60.78	32.69	0.48	1.02	2.63	2.41	153	154410	8030	5.2%	-7
GORDON	161	161833	54.86	64.25	29.15	0.62	0.68	2.26	3.04	151	154934	6899	4.5%	-10
MENDEZ	162	161717	54.82	4.48	0.78	0.48	0.24	0.18	93.83	242	112736	48981	43.4%	80
SILVA	163	161633	54.79	32.61	2.03	2.01	0.39	1.62	61.34	214	126164	35469	28.1%	51
SHAW	164	160400	54.38	72.07	21.19	1.48	0.75	2.15	2.36	150	155172	5228	3.4%	-14
SNYDER	165	160262	54.33	94.07	1.46	0.59	0.52	1.45	1.92	144	159363	899	0.6%	-21
MASON	166	160213	54.31	68.82	25.1	0.53	0.76	2.38	2.41	149	155484	4729	3.0%	-17
DIXON	167	159480	54.06	54.25	39.26	0.43	0.96	2.61	2.49	156	152015	7465	4.9%	-11
MUNOZ	168	158483	53.73	4.89	0.3	0.91	0.21	0.21	93.48	232	117774	40709	34.6%	64
HUNT	169	158421	53.71	73.57	16.93	0.61	4.23	2.35	2.31	157	151986	6435	4.2%	-12
HICKS	170	158320	53.67	67.37	26.88	0.42	0.98	2.23	2.13	155	153618	4702	3.1%	-15
HOLMES	171	156780	53.15	56.79	37.28	0.42	0.76	2.37	2.38	161	150166	6614	4.4%	-10
PALMER	172	156601	53.09	75.08	18.57	0.55	0.81	2.11	2.87	158	150407	6194	4.1%	-14
WAGNER	173	155795	52.82	92.47	2.6	0.58	0.54	1.4	2.41	152	154516	1279	0.8%	-21
BLACK	174	154738	52.46	74.63	19	0.53	1.44	2.08	2.33	160	150186	4552	3.0%	-14
ROBERTSON	175	153666	52.09	73.42	20.61	0.52	0.89	2.11	2.46	159	150299	3367	2.2%	-16
BOYD	176	153469	52.03	63.18	30.77	0.51	1.02	2.36	2.16	164	149476	3993	2.7%	-12
ROSE	177	153397	52	82.08	11.61	0.72	0.64	1.99	2.96	168	146924	6473	4.4%	-9
STONE	178	153329	51.98	85.95	8.13	0.65	0.95	1.93	2.39	162	149802	3527	2.4%	-16
SALAZAR	179	152703	51.77	5.62	0.27	1.69	0.46	0.3	91.65	240	113468	39235	34.6%	61
FOX	180	152334	51.64	88.08	6.06	0.56	1.03	1.84	2.42	167	147357	4977	3.4%	-13
WARREN	181	152147	51.58	70.08	23.94	0.55	0.84	2.26	2.33	166	147906	4241	2.9%	-15
MILLS	182	151942	51.51	77.5	16.77	0.51	0.82	2.06	2.33	165	147909	4033	2.7%	-17
MEYER	183	150895	51.15	94.84	0.52	0.71	0.29	1.37	2.28	163	149664	1231	0.8%	-20
RICE	184	149500	50.68	77.63	16.74	0.57	0.74	1.99	2.33	169	146440	3060	2.1%	-15
SCHMIDT	185	147034	49.85	95.15	0.37	0.61	0.34	1.19	2.34	171	145565	1469	1.0%	-14
GARZA	186	147005	49.84	6.66	0.24	0.17	0.28	0.15	92.49	220	124130	22875	18.4%	34
DANIELS	187	146570	49.69	54.67	38.54	0.51	0.91	2.68	2.7	180	138776	7794	5.6%	-7
FERGUSON	188	146426	49.64	74.83	19.19	0.6	0.62	2.23	2.53	173	142256	4170	2.9%	-15
NICHOLS	189	145584	49.35	82.42	11.88	0.52	0.76	1.99	2.43	174	141936	3648	2.6%	-15
STEPHENS	190	144646	49.04	73.9	20.31	0.46	0.67	2.12	2.54	181	138742	5904	4.3%	-9
SOTO	191	144451	48.97	5.15	0.48	0.44	0.26	0.22	93.45	257	106631	37820	35.5%	66
WEAVER	192	143837	48.76	84.41	9.99	0.52	1.09	1.87	2.12	179	138811	5026	3.6%	-13
RYAN	193	143452	48.63	91.65	3.02	0.89	0.43	1.46	2.55	177	139335	4117	3.0%	-16
GARDNER	194	142894	48.44	75.01	19.4	0.56	0.7	2.04	2.29	182	138660	4234	3.1%	-12
PAYNE	195	142601	48.34	71.55	22.63	0.45	0.58	2.37	2.42	183	138028	4573	3.3%	-12
GRANT	196	142277	48.23	55.36	37.91	0.52	1.08	2.35	2.79	192	134034	8243	6.1%	-4
DUNN	197	141427	47.94	80.08	14.39	0.75	0.59	1.94	2.25	185	136955	4472	3.3%	-12
KELLEY	198	140693	47.7	83.78	10.8	0.55	0.66	2.03	2.18	184	137555	3138	2.3%	-14
SPENCER	199	139951	47.44	69.41	23.22	0.76	1.47	2.48	2.67	189	134443	5508	4.1%	-10
HAWKINS	200	139751	47.38	61.08	32.75	0.48	0.69	2.5	2.5	191	134066	5685	4.2%	-9
ARNOLD	201	138893	47.09	81.27	13.34	0.57	0.55	1.87	2.41	187	136315	2578	1.9%	-14
PIERCE	202	138629	47	80.98	12.86	0.53	1.06	2.1	2.47	186	136517	2112	1.5%	-16
VAZQUEZ	203	138322	46.89	3.53	0.35	0.18	0.06	0.12	95.75	328	84926	53396	62.9%	125
HANSEN	204	137977	46.78	94.22	0.53	0.74	0.49	1.47	2.54	193	133474	4503	3.4%	-11
PETERS	205	137513	46.62	82.86	10.41	0.98	1.33	1.86	2.55	190	134231	3282	2.4%	-15
SANTOS	206	137232	46.52	20.06	2.31	13.32	0.27	1.85	62.2	279	98993	38239	38.6%	73
HART	207	137184	46.51	80.54	13.64	0.56	0.73	2.01	2.52	196	132466	4718	3.6%	-11
BRADLEY	208	136720	46.35	69.12	25.09	0.44	0.82	2.19	2.34	200	131289	5431	4.1%	-8
KNIGHT	209	136713	46.35	72.31	21.61	0.52	0.9	2.17	2.5	199	131860	4853	3.7%	-10
ELLIOTT	210	135765	46.03	81.62	12.96	0.54	0.66	2	2.21	197	132457	3308	2.5%	-13
CUNNINGHAM	211	135718	46.01	73.16	21.18	0.53	0.48	2.07	2.58	198	131896	3822	2.9%	-13
DUNCAN	212	135187	45.83	76.39	17.33	0.52	0.99	2.21	2.55	203	130419	4768	3.7%	-9
ARMSTRONG	213	135044	45.78	72.39	21.01	0.58	0.93	2.31	2.79	204	129982	5062	3.9%	-9
HUDSON	214	134963	45.75	66.88	27.42	0.46	0.84	2.2	2.2	202	130793	4170	3.2%	-12
CARROLL	215	134317	45.53	82.95	11.48	0.61	0.67	1.92	2.36	201	131020	3297	2.5%	-14
LANE	216	134227	45.5	77.14	16.88	0.61	0.92	2.12	2.33	209	128727	5500	4.3%	-7
RILEY	217	133872	45.38	72.79	21.27	0.51	0.87	2.08	2.48	210	127960	5912	4.6%	-7
ANDREWS	218	133799	45.36	71.78	21.58	0.78	1.09	2.2	2.57	206	129320	4479	3.5%	-12
ALVARADO	219	133501	45.26	4.29	0.33	0.53	0.23	0.2	94.42	294	93723	39778	42.4%	75
RAY	220	133171	45.15	74.97	17.54	1.94	0.93	2.05	2.56	208	128794	4377	3.4%	-12
DELGADO	221	132985	45.08	5.57	0.72	0.8	0.19	0.25	92.47	282	98675	34310	34.8%	61
BERRY	222	132812	45.02	70.66	23.11	0.56	0.8	2.34	2.53	205	129405	3407	2.6%	-17
PERKINS	223	131440	44.56	69.45	24.6	0.53	0.73	2.33	2.37	212	126951	4489	3.5%	-11
HOFFMAN	224	131401	44.55	94.08	1.26	0.63	0.56	1.34	2.12	195	132645	-1244	-0.9%	-29
JOHNSTON	225	131373	44.54	91.62	2.41	0.68	0.83	1.84	2.62	207	128935	2438	1.9%	-18
MATTHEWS	226	131303	44.51	63.37	30.67	0.62	0.58	2.36	2.39	217	124839	6464	5.2%	-9
PENA	227	130776	44.33	5.34	0.52	1.09	0.31	0.24	92.5	284	98345	32431	33.0%	57
RICHARDS	228	130529	44.25	78.67	14.86	0.66	1.04	1.96	2.81	215	125653	4876	3.9%	-13
CONTRERAS	229	130164	44.13	4.19	0.21	0.55	0.25	0.16	94.64	299	92660	37504	40.5%	70
WILLIS	230	130152	44.12	62.22	31.07	0.51	1.33	2.55	2.31	216	125627	4525	3.6%	-14
CARPENTER	231	129898	44.04	86.21	8.49	0.57	0.68	1.87	2.18	211	127073	2825	2.2%	-20
LAWRENCE	232	129699	43.97	68.87	24.65	0.74	0.93	2.3	2.5	219	124321	5378	4.3%	-13
SANDOVAL	233	128948	43.71	5.29	0.21	0.55	1.77	0.25	91.93	287	96303	32645	33.9%	54
GUERRERO	234	128677	43.62	4.55	0.33	2.2	0.22	0.43	92.27	291	94152	34525	36.7%	57
GEORGE	235	128625	43.6	66.47	18.46	7.62	2.24	2.04	3.16	227	119778	8847	7.4%	-8
CHAPMAN	236	127939	43.37	79.51	14.62	0.57	0.81	2.03	2.47	218	124614	3325	2.7%	-18
RIOS	237	127794	43.32	4.99	0.44	0.43	0.32	0.22	93.61	285	96569	31225	32.3%	48
ESTRADA	238	127470	43.21	4.58	0.43	1.66	0.2	0.28	92.86	298	92831	34639	37.3%	60
ORTEGA	239	127256	43.14	4.77	0.29	1.15	0.43	0.25	93.11	296	93131	34125	36.6%	57
WATKINS	240	127083	43.08	62.03	32.27	0.42	0.64	2.56	2.09	222	122447	4636	3.8%	-18
GREENE	241	126101	42.75	67.7	26.54	0.48	0.73	2.34	2.21	228	119604	6497	5.4%	-13
NUNEZ	242	125350	42.49	5.28	0.67	0.83	0.26	0.23	92.72	306	90208	35142	39.0%	64
WHEELER	243	125058	42.4	80.96	13.29	0.5	0.93	1.97	2.35	223	121684	3374	2.8%	-20
VALDEZ	244	124995	42.37	6.29	0.48	3.35	0.65	0.56	88.66	283	98610	26385	26.8%	39
HARPER	245	124461	42.19	67.9	26.22	0.49	0.72	2.36	2.31	226	119868	4593	3.8%	-19
BURKE	246	122877	41.66	85.93	8.76	0.68	0.54	1.68	2.41	229	119175	3702	3.1%	-17
LARSON	247	122587	41.56	94.79	0.49	0.74	0.62	1.41	1.95	224	121064	1523	1.3%	-23
SANTIAGO	248	122212	41.43	5.41	1.31	4.5	0.14	0.58	88.06	302	90967	31245	34.3%	54
MALDONADO	249	121526	41.2	4.97	0.5	0.4	0.19	0.23	93.71	316	88016	33510	38.1%	67
MORRISON	250	121130	41.06	79.11	14.82	0.61	0.98	1.99	2.49	231	117939	3191	2.7%	-19
FRANKLIN	251	120621	40.89	54.38	38.76	0.54	0.83	2.78	2.7	236	114859	5762	5.0%	-15
CARLSON	252	120552	40.87	94.83	0.46	0.77	0.49	1.38	2.07	225	120124	428	0.4%	-27
AUSTIN	253	119706	40.58	67.47	26.01	0.61	0.8	2.34	2.78	241	113160	6546	5.8%	-12
DOMINGUEZ	254	119304	40.44	5.04	0.38	1.03	0.25	0.21	93.09	334	83731	35573	42.5%	80
CARR	255	119076	40.37	73.61	20.82	0.49	0.59	2.08	2.41	239	113892	5184	4.6%	-16
