Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
41315533,01/01/2019 12:00:00 AM,01/14/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10002,54 HENRY STREET,HENRY STREET,CATHERINE STREET,MARKET STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/31/2019 02:43:01 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2019 12:00:00 AM,03 MANHATTAN,1002770031,MANHATTAN,985572,199023,PHONE,Unspecified,MANHATTAN,,,,,,,,40.712948807111886,-73.9952313442263,"(40.712948807111886, -73.9952313442263)"
41315535,01/01/2019 12:00:00 AM,01/01/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10128,227 EAST   96 STREET,EAST   96 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,01/31/2019 02:17:09 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/01/2019 02:36:11 AM,11 MANHATTAN,1016460017,MANHATTAN,998589,225180,PHONE,Unspecified,MANHATTAN,,,,,,,,40.784731646241326,-73.94822127280133,"(40.784731646241326, -73.94822127280133)"
41315592,01/01/2019 12:00:00 AM,01/02/2019 03:51:11 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,1-2 Family Dwelling,11432,172-48 HENLEY ROAD,HENLEY ROAD,,,,,LATLONG,JAMAICA,,N/A,Closed,01/31/2019 07:53:53 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/02/2019 03:51:11 PM,Unspecified QUEENS,,QUEENS,1042441,199527,MOBILE,Unspecified,QUEENS,,,,,,,,40.714140897898176,-73.7900922265526,"(40.714140897898176, -73.7900922265526)"
41316076,01/01/2019 12:00:00 AM,01/02/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11233,829 HALSEY STREET,HALSEY STREET,,,,,LATLONG,BROOKLYN,,N/A,Closed,01/31/2019 10:19:20 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/02/2019 12:00:00 AM,Unspecified BROOKLYN,,BROOKLYN,1006597,189042,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68552518032117,-73.9194241000672,"(40.68552518032117, -73.9194241000672)"
41316077,01/01/2019 12:00:00 AM,01/03/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,10466,4413 EDSON AVENUE,EDSON AVENUE,NEREID AVENUE,DEAD END,,,ADDRESS,BRONX,,N/A,Closed,01/31/2019 10:55:51 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 12:00:00 AM,12 BRONX,2050930036,BRONX,1026504,267034,PHONE,Unspecified,BRONX,,,,,,,,40.89951908176785,-73.8471554688175,"(40.89951908176785, -73.8471554688175)"
41316266,01/01/2019 12:00:00 AM,01/07/2019 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10469,1920 EAST GUN HILL ROAD,EAST GUN HILL ROAD,ELY AVENUE,NEW ENGLAND TY SB EN E GUN HILL,,,ADDRESS,BRONX,,N/A,Closed,01/15/2019 06:30:20 AM,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",01/07/2019 03:27:31 PM,11 BRONX,2045050009,BRONX,1030890,253556,PHONE,Unspecified,BRONX,,,,,,,,40.86250413861119,-73.83138396390851,"(40.86250413861119, -73.83138396390851)"
41316419,01/01/2019 12:00:00 AM,01/03/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,10033,1318 JUAN PABLO DUARTE BOULEVARD,JUAN PABLO DUARTE BOULEVARD,WEST 175 STREET,WEST 176 STREET,,,ADDRESS,NEW YORK,,N/A,Closed,01/31/2019 03:15:52 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 12:00:00 AM,12 MANHATTAN,1021330007,MANHATTAN,1001917,247505,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.84600147856916,-73.93614496347067,"(40.84600147856916, -73.93614496347067)"
41316435,01/01/2019 12:00:00 AM,01/03/2019 03:54:02 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10031,545 WEST  144 STREET,WEST  144 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,01/31/2019 03:37:28 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 03:54:02 PM,09 MANHATTAN,1020760014,MANHATTAN,998263,239889,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.825104318551325,-73.94936777115372,"(40.825104318551325, -73.94936777115372)"
41316530,01/01/2019 12:00:00 AM,01/07/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11103,37 STREET,37 STREET,30 AVENUE,31 AVENUE,,,BLOCKFACE,ASTORIA,,N/A,Closed,01/31/2019 12:19:19 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/07/2019 12:00:00 AM,Unspecified QUEENS,,QUEENS,1007065,217399,PHONE,Unspecified,QUEENS,,,,,,,,40.763357033697254,-73.91764051534761,"(40.763357033697254, -73.91764051534761)"
41316662,01/01/2019 12:00:00 AM,01/02/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,11374,62-54 JUNCTION BOULEVARD,JUNCTION BOULEVARD,,,,,LATLONG,REGO PARK,,N/A,Closed,01/31/2019 11:00:50 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/02/2019 12:00:00 AM,Unspecified QUEENS,,QUEENS,1022059,205704,MOBILE,Unspecified,QUEENS,,,,,,,,40.73120582769077,-73.86357974505233,"(40.73120582769077, -73.86357974505233)"
41316685,01/01/2019 12:00:00 AM,01/14/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11378,,,,,59 STREET,57 DRIVE,INTERSECTION,Maspeth,,N/A,Closed,01/31/2019 01:51:12 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2019 12:00:00 AM,05 QUEENS,,QUEENS,1009645,202250,PHONE,Unspecified,QUEENS,,,,,,,,40.7217697962582,-73.90838421804833,"(40.7217697962582, -73.90838421804833)"
41316776,01/01/2019 12:00:00 AM,01/24/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11203,698 MIDWOOD STREET,MIDWOOD STREET,,,,,LATLONG,BROOKLYN,,N/A,Closed,01/31/2019 10:16:08 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/24/2019 12:00:00 AM,Unspecified BROOKLYN,,BROOKLYN,1001572,179998,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.660712697815164,-73.9375658253524,"(40.660712697815164, -73.9375658253524)"
41316918,01/01/2019 12:00:00 AM,01/03/2019 12:59:29 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,10466,,,,,NEREID AVENUE,EDSON AVENUE,INTERSECTION,BRONX,,N/A,Closed,01/31/2019 10:45:31 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 12:59:29 PM,12 BRONX,,BRONX,1026556,266864,PHONE,Unspecified,BRONX,,,,,,,,40.89905223776536,-73.84696844495119,"(40.89905223776536, -73.84696844495119)"
41316968,01/01/2019 12:00:00 AM,01/15/2019 04:28:53 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11219,5906 NEW UTRECHT AVENUE,NEW UTRECHT AVENUE,,,,,LATLONG,BROOKLYN,,N/A,Closed,01/31/2019 05:30:12 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/15/2019 04:28:53 PM,Unspecified BROOKLYN,,BROOKLYN,985187,168189,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.628316431242226,-73.9966243840344,"(40.628316431242226, -73.9966243840344)"
41317095,01/01/2019 12:00:00 AM,01/17/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10304,91 BROAD STREET,BROAD STREET,WRIGHT STREET,QUINN STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,01/31/2019 10:07:37 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/17/2019 12:00:00 AM,01 STATEN ISLAND,5005260014,STATEN ISLAND,962520,167000,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62502627540445,-74.07828018007689,"(40.62502627540445, -74.07828018007689)"
41317127,01/01/2019 12:00:00 AM,01/01/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10463,3400 FORT INDEPENDENCE STREET,FORT INDEPENDENCE STREET,BEND,BAILEY PLACE,,,ADDRESS,BRONX,,N/A,Closed,01/31/2019 07:34:34 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/01/2019 07:40:06 PM,08 BRONX,2032580073,BRONX,1012103,260029,PHONE,Unspecified,BRONX,,,,,,,,40.880349795123124,-73.89927699007562,"(40.880349795123124, -73.89927699007562)"
41317185,01/01/2019 12:00:00 AM,01/03/2019 01:02:10 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11412,111-41 FARMERS BOULEVARD,FARMERS BOULEVARD,111 ROAD,KEESEVILLE AVENUE,,,ADDRESS,Saint Albans,,N/A,Closed,01/31/2019 07:22:13 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 01:02:10 PM,12 QUEENS,4109510095,QUEENS,1049506,194783,PHONE,Unspecified,QUEENS,,,,,,,,40.70107049735594,-73.76465330540066,"(40.70107049735594, -73.76465330540066)"
41317186,01/01/2019 12:00:00 AM,01/11/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10025,52 WEST  105 STREET,WEST  105 STREET,MANHATTAN AVENUE,COLUMBUS AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,01/31/2019 06:00:34 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/11/2019 12:00:00 AM,07 MANHATTAN,1018400054,MANHATTAN,994706,230043,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79808471698097,-73.96223537511213,"(40.79808471698097, -73.96223537511213)"
41317187,01/01/2019 12:00:00 AM,01/03/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10463,3424 KINGSBRIDGE AVENUE,KINGSBRIDGE AVENUE,WEST 234 STREET,WEST 236 STREET,,,ADDRESS,BRONX,,N/A,Closed,01/31/2019 04:58:01 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 12:00:00 AM,08 BRONX,2057600112,BRONX,1010876,260892,PHONE,Unspecified,BRONX,,,,,,,,40.88272224707125,-73.90371067700804,"(40.88272224707125, -73.90371067700804)"
41317189,01/01/2019 12:00:00 AM,01/17/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),10024,126 WEST 83 STREET,WEST 83 STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,01/31/2019 05:41:02 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/17/2019 12:00:00 AM,Unspecified MANHATTAN,,MANHATTAN,991222,225203,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.78480365702804,-73.97482379103063,"(40.78480365702804, -73.97482379103063)"
41317253,01/01/2019 12:00:00 AM,01/07/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10028,225 EAST 82 STREET,EAST 82 STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,01/31/2019 12:22:17 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/07/2019 12:00:00 AM,Unspecified MANHATTAN,,MANHATTAN,996832,221974,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.7759347018357,-73.95457187574127,"(40.7759347018357, -73.95457187574127)"
41317342,01/01/2019 12:00:00 AM,01/08/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,11206,190 THROOP AVENUE,THROOP AVENUE,ELLERY STREET,PARK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/31/2019 09:56:15 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/08/2019 12:00:00 AM,03 BROOKLYN,3017320024,BROOKLYN,999775,193757,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.698481358947575,-73.94401110409531,"(40.698481358947575, -73.94401110409531)"
41317762,01/01/2019 12:00:00 AM,01/02/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11233,827 HALSEY STREET,HALSEY STREET,,,,,LATLONG,BROOKLYN,,N/A,Closed,01/31/2019 10:19:43 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/02/2019 12:00:00 AM,Unspecified BROOKLYN,,BROOKLYN,1006572,189038,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68551426432423,-73.91951425500977,"(40.68551426432423, -73.91951425500977)"
41317763,01/01/2019 12:00:00 AM,01/03/2019 03:55:28 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11226,229 EAST   18 STREET,EAST   18 STREET,ALBEMARLE ROAD,BEVERLEY ROAD,,,ADDRESS,BROOKLYN,,N/A,Closed,01/31/2019 09:39:02 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 03:55:28 PM,14 BROOKLYN,3051220050,BROOKLYN,994699,174513,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64566834882091,-73.96234686753827,"(40.64566834882091, -73.96234686753827)"
41317770,01/01/2019 12:00:00 AM,01/03/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,11221,917 GREENE AVENUE,GREENE AVENUE,,,,,LATLONG,BROOKLYN,,N/A,Closed,01/31/2019 04:58:09 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/03/2019 12:00:00 AM,Unspecified BROOKLYN,,BROOKLYN,1003424,191020,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.690961776839174,-73.93085925544133,"(40.690961776839174, -73.93085925544133)"
41317774,01/01/2019 12:00:00 AM,01/01/2019 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Restaurant/Bar/Deli/Bakery,11206,1 GRAHAM AVENUE,GRAHAM AVENUE,BROADWAY,DEBEVOISE STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,01/15/2019 06:58:00 PM,"Callers should contact the DOHMH Foodborne Illness unit directly at (646) 632-6103 weekdays from 9AM to 5PM.  DOHMH will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection. Initial status will be available 14 days after the date of your complaint. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center.  Please note your Service Request number for future reference.",01/02/2019 02:04:29 PM,01 BROOKLYN,3031260001,BROOKLYN,1000265,194757,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70122525153217,-73.94224160533983,"(40.70122525153217, -73.94224160533983)"
41318587,01/01/2019 12:00:00 AM,01/01/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10456,1220 GRAND CONCOURSE,GRAND CONCOURSE,EAST 167 STREET,EAST 168 STREET,,,ADDRESS,BRONX,,N/A,Closed,01/31/2019 10:06:10 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/01/2019 10:17:17 AM,04 BRONX,2024570004,BRONX,1007144,243483,PHONE,Unspecified,BRONX,,,,,,,,40.83495026019115,-73.91726640260559,"(40.83495026019115, -73.91726640260559)"
41318588,01/01/2019 12:00:00 AM,01/01/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11222,131 MCGUINNESS BOULEVARD,MCGUINNESS BOULEVARD,NORMAN AVENUE,MESEROLE AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/31/2019 09:32:08 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/01/2019 09:34:50 AM,01 BROOKLYN,3026220022,BROOKLYN,998244,204134,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.726966300396555,-73.94951088547417,"(40.726966300396555, -73.94951088547417)"
