a5qt-5jpu.STATEN_ISLAND_CONDOMINIUM_PROPERTY_Neighborhood,Neighborhood
a5td-mswe.Vehicle_Color,Color
a6zp-tcs3.Agency,City agency
a9md-ynri.MI,other
ac4n-c5re.PRINCIPAL_PHONE_NUMBER,Phone Number
ad4c-mphb.MANHATTAN_CONDOMINIUM_PROPERTY_Building_Classification,Building Classification
aiww-p3af.Cross_Street_2,Street name
aiww-p3af.Incident_Zip,Zip code
aiww-p3af.Intersection_Street_2,Street name
aiww-p3af.Park_Facility_Name,Parks/Playgrounds
ajgi-hpq9.BORO,Borough
ajgi-hpq9.CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Subjects in school
ajxm-kzmj.NeighborhoodName,Neighborhood
as69-ew8f.StartCity,City
as69-ew8f.TruckMake,Car make
b9km-gdpy.ZIP,Zip code
bawj-6bgn.BRONX_CONDOMINIUM_PROPERTY_Building_Classification,Building Classification
bbs3-q5us.EMPCITY,City
bdjm-n7q4.CrossStreet2,Street name
bdjm-n7q4.Location,LAT/LON coordinates
bjuu-44hx.DVV_MAKE,Car make
bs8b-p36w.STREET,Street name
bss9-579f.BROOKLYN_____CONDOMINIUMS_COMPARABLE_PROPERTIES_____Neighborhood,Neighborhood
bty7-2jhb.Owner_s_House_City,City
bty7-2jhb.Site_Safety_Mgr_s_Last_Name,Person name
by6m-6zpb.interest,Areas of study
c284-tqph.Vehicle_Color,Color
c284-tqph.Vehicle_Make,Car make
cgz5-877h.SCHOOL_LEVEL_,School Levels
ci93-uc8s.Address1,Address
ci93-uc8s.Vendor_DBA,Business name
ci93-uc8s.Website,Websites
cspg-yi7g.ADDRESS,Address
cvh6-nmyi.SCHOOL_LEVEL_,School Levels
cwg5-cqkm.QUEENS___COOPERATIVES_COMPARABLE_PROPERTIES___Building_Classification,Building Classification
cwqt-nvfg.Boro,Borough
cyfw-hfqk.STATEN_ISLAND_CONDOMINIUM_PROPERTY_Neighborhood,Neighborhood
cznr-hmrv.School_Name,School name
d3ge-anaz.CORE_COURSE__MS_CORE_and_9_12_ONLY_,Subjects in school
diks-hcwd.School_Name,School name
dj4e-3xrn.SCHOOL_LEVEL_,School Levels
dm9a-ab7w.APPLICANT_FIRST_NAME,Person name
dm9a-ab7w.AUTH_REP_FIRST_NAME,Person name
dm9a-ab7w.AUTH_REP_LAST_NAME,Person name
dm9a-ab7w.OWNER_ZIP,Zip code
dm9a-ab7w.STREET_NAME,Street name
dpm2-m9mq.applicant_zip,Zip code
e9xc-u3ds.CANDMI,other
eamj-ryxu.Agency,City agency
en2c-j6tw.BRONX_CONDOMINIUM_PROPERTY_Building_Classification,Building Classification
en2c-j6tw.BRONX_CONDOMINIUM_PROPERTY_Neighborhood,Neighborhood
erm2-nwe9.Landmark,Street name
erm2-nwe9.Park_Facility_Name,Parks/Playgrounds
f7qh-bcr5.CORE_SUBJECT___MS_CORE_and__9_12_ONLY_,Subjects in school
faiq-9dfq.Vehicle_Body_Type,Vehicle Type
faiq-9dfq.Vehicle_Color,Color
fbaw-uq4e.Location_1,LAT/LON coordinates
feu5-w2e2.BusinessCity,City
feu5-w2e2.BusinessZip,Zip code
ffnc-f3aa.SCHOOL_LEVEL_,School Levels
fgq8-am2v.Website,Websites
fp78-wt5b.address,Address
fp78-wt5b.phonenumber,Phone Number
fxs2-faah.PRINCIPAL_PHONE_NUMBER,Phone Number
fzv4-jan3.SCHOOL_LEVEL_,School Levels
gahm-hu5h.BRONX___COOPERATIVES_COMPARABLE_PROPERTIES___Neighborhood,Neighborhood
gahm-hu5h.COMPARABLE_RENTAL___2__Neighborhood,Neighborhood
gez6-674h.CORE_SUBJECT___MS_CORE_and__9_12_ONLY_,Subjects in school
gpwd-npar.INCIDENT_ADDRESS,Address
gpwd-npar.LOCATION,LAT/LON coordinates
h9gi-nx95.VEHICLE_TYPE_CODE_1,Vehicle Type
h9gi-nx95.VEHICLE_TYPE_CODE_2,Vehicle Type
h9gi-nx95.VEHICLE_TYPE_CODE_3,Vehicle Type
h9gi-nx95.VEHICLE_TYPE_CODE_4,Vehicle Type
h9gi-nx95.VEHICLE_TYPE_CODE_5,Vehicle Type
hy4q-igkk.Cross_Street_2,Street name
hy4q-igkk.School_Name,School name
hy4q-igkk.Street_Name,Street name
i6b5-j7bu.TOSTREETNAME,Street name
i8ys-e4pm.CORE_COURSE_9_12_ONLY_,Subjects in school
ic3t-wcy2.Applicant_s_First_Name,Person name
ipu4-2q9a.Site_Safety_Mgr_s_First_Name,Person name
ipu4-2q9a.Site_Safety_Mgr_s_Last_Name,Person name
itd7-gx3g.Location_1,LAT/LON coordinates
jhjm-vsp8.Agency,City agency
ji82-xba5.address,Address
jt7v-77mi.Vehicle_Color,Color
jt7v-77mi.Vehicle_Make,Car make
jxyc-rxiv.COMPARABLE_RENTAL___2__Building_Classification,Building Classification
jxyc-rxiv.MANHATTAN___COOPERATIVES_COMPARABLE_PROPERTIES___Neighborhood,Neighborhood
jz4z-kudi.Respondent_Address__City_,City
jz4z-kudi.Respondent_Address__Zip_Code_,Zip code
jz4z-kudi.Violation_Location__City_,City
jz4z-kudi.Violation_Location__Zip_Code_,Zip code
k3cd-yu9d.BOROUGH_CITY,City
k3cd-yu9d.CANDMI,other
k4xi-fxp5.Borough,Borough
kevu-8hby.STR_NAME,Street name
kiv2-tbus.Vehicle_Body_Type,Vehicle Type
kiv2-tbus.Vehicle_Color,Color
kiv2-tbus.Vehicle_Make,Car make
kiyv-ks3f.Website,Websites
kj4p-ruqc.StreetName,Street name
kwmq-dbub.CANDMI,other
kyad-zm4j.Location,LAT/LON coordinates
kz72-dump.CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Subjects in school
m3fi-rt3k.Agency_,City agency
mdcw-n682.Agency_Acronym,City agency
mdcw-n682.First_Name,Person name
mdcw-n682.Last_Name,Person name
mdcw-n682.Middle_Initial,other
mjux-q9d4.SCHOOL_LEVEL_,School Levels
mqdy-gu73.Color,Color
mrxb-9w9v.BOROUGH___COMMUNITY,Borough
myei-c3fa.Neighborhood_3,Neighborhood
n8p9-7jxp.EMPCITY,City
n8p9-7jxp.ZIP,Zip code
n84m-kx4j.VEHICLE_MAKE,Car make
nhms-9u6g.Name__Last__First_,Person name
nre2-6m2s.Business_City,City
p2d7-vcsb.ACCOUNT_PHONE,Phone Number
p2d7-vcsb.COMPLAINT_INQUIRY_STREET_ADDRESS,Address
p937-wjvj.HOUSE_NUMBER,Address
p937-wjvj.STREET_NAME,Street name
pchn-eaxn.School_Name,School name
pdpg-nn8i.SCHOOL_NAME,School name
pf3n-zn2m.StreetAddress,Address
pgtq-ht5f.CORE_SUBJECT___MS_CORE_and__9_12_ONLY_,Subjects in school
ph7v-u5f3.TOP_VEHICLE_MODELS___5,Car make
pq5i-thsu.DVC_MAKE,Car make
pqg4-dm6b.Address1,Address
ptev-4hud.Zip,Zip code
pvqr-7yc4.Vehicle_Body_Type,Vehicle Type
pvqr-7yc4.Vehicle_Color,Color
pvqr-7yc4.Vehicle_Make,Car make
qbce-2kcu.COMPARABLE_RENTAL___2__Neighborhood,Neighborhood
qbjq-atxv.Agency,City agency
qcdj-rwhu.BUSINESS_NAME2,Business name
qgea-i56i.PREM_TYP_DESC,Type of location
qjvp-rnsx.Website,Websites
qpm9-j523.org_neighborhood,Neighborhood
qu8g-sxqf.First_Name,Person name
qu8g-sxqf.MI,other
rbx6-tga4.Applicant_Business_Address,Address
s3k6-pzi2.interest2,Areas of study
s3k6-pzi2.interest3,Areas of study
s3k6-pzi2.neighborhood,Neighborhood
s79c-jgrm.EMPCITY,City
sqcr-6mww.School_Name,School name
sqcr-6mww.Street_Name,Street name
sv2w-rv3k.BORO,Borough
sxmw-f24h.Location,LAT/LON coordinates
sxmw-f24h.Park_Facility_Name,School name
sxx4-xhzg.Park_Site_Name,Parks/Playgrounds
sybh-s59s.CORE_SUBJECT___MS_CORE_and__9_12_ONLY_,Areas of study
sybh-s59s.SCHOOL_NAME,School name
t8hj-ruu2.Business_Phone_Number,Phone Number
t8hj-ruu2.First_Name,Person name
tg3t-nh4h.BusinessName,Business name
tmr6-dfvn.School_Name,School name
tqtj-sjs8.FromStreetName,Street name
tu4y-7fre.Boro,Borough
u35m-9t32.Address,Address
ub9e-s7ai.CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Areas of study
upwt-zvh3.SCHOOL,School name
upwt-zvh3.SCHOOL_LEVEL_,School Levels
uq7m-95z8.interest2,Areas of study
uq7m-95z8.interest3,Areas of study
uq7m-95z8.interest4,Areas of study
uq7m-95z8.interest5,Areas of study
uq7m-95z8.website,Websites
urzf-q2g5.Phone_Number,Phone Number
uwyv-629c.StreetName,Street name
uzcy-9puk.Park_Facility_Name,Parks/Playgrounds
uzcy-9puk.Street_Name,Street name
vhah-kvpj.Borough,Borough
vr8p-8shw.DVT_MAKE,Car make
vrn4-2abs.SCHOOL_LEVEL_,School Levels
vw9i-7mzq.interest2,Areas of study
vw9i-7mzq.interest5,Areas of study
vw9i-7mzq.interest6,Areas of study
vw9i-7mzq.website,Websites
vx8i-nprf.MI,other
w9ak-ipjd.Applicant_Last_Name,Person name
w9ak-ipjd.Filing_Representative_City,City
w9ak-ipjd.Filing_Representative_First_Name,Person name
w9ak-ipjd.Owner_s_Business_Name,Business name
weg5-33pj.SCHOOL_LEVEL_,School Levels
wks3-66bn.School_Name,School name
wvts-6tdf.Address,Address
x5tk-fa54.Agency_Name,City agency
xck4-5xd5.phone,Phone Number
xk6g-r83g.Agency,City agency
xne4-4v8f.SCHOOL_LEVEL_,School Levels
xx4a-msrm.Address_1,Address
y4fw-iqfr.Location_1,LAT/LON coordinates
yahh-6yjc.School_Type,School Levels
yayv-apxh.SCHOOL_LEVEL_,School Levels
ydkf-mpxb.CrossStreetName,Street name
yggg-xf4b.Website,Websites
ykx2-pdw8.QUEENS___COOPERATIVES_COMPARABLE_PROPERTIES___Building_Classification,Building Classification
ytjm-yias.CORE_SUBJECT___MS_CORE_and__09_12_ONLY_,Areas of study
tvhc-4n5n.REGISTRY_ADDRESS,Address
